text,label
"""Don't be afraid to go against the grain – be a trailblazer!""",2
"""Normal is boring – dare to be different!""",2
"""Why be a sheep when you can be a wolf?""",2
"""Don't follow the crowd – lead the pack!""",2
"""Embrace your quirks and celebrate what makes you unique.""",2
"""Why conform to societal norms when you can create your own?""",2
"""Stop trying to fit into society's mold – be your own person!""",2
"""Be proud of who you are and what you stand for.""",2
"""Don't let society dictate how you should live your life.""",2
"""Why conform to outdated gender roles? Break free from stereotypes!""",2
"""Be yourself, unapologetically and authentically.""",2
"""Stop trying to please everyone – focus on being true to yourself.""",2
"""Don't let societal pressures dictate your choices.""",2
"""Why conform to societal expectations when you can defy them?""",2
"""Embrace your individuality and let your true self shine.""",2
"""Don't hide your uniqueness – let it be your superpower!""",2
"""Why conform to societal standards of beauty? Embrace your flaws!""",2
"""Stop comparing yourself to others – you are enough.""",2
"""Don't let societal standards define your worth.""",2
"""Why conform to traditional notions of success? Define your own path!""",2
"""Be proud of your accomplishments, no matter how small.""",2
"""Don't let others' opinions hold you back from pursuing your dreams.""",2
"""Why conform to society's definition of happiness? Find your own joy!""",2
"""Stop seeking validation from others – true happiness comes from within.""",2
"""Don't let fear of judgment stop you from expressing yourself.""",2
"""Why conform to societal norms of success? Forge your own path!""",2
"""Be proud of your unique talents and abilities.""",2
"""Don't let fear of failure prevent you from taking risks.""",2
"""Why conform to societal expectations of love? Define your own relationships!""",2
"""Stop seeking approval from others – love yourself first.""",2
"""Don't let society's standards of beauty dictate how you see yourself.""",2
"""Why conform to societal norms of masculinity? Embrace your sensitivity!""",2
"""Be proud of your emotions and express them freely.""",2
"""Don't let toxic masculinity dictate how you should behave.""",2
"""Why conform to traditional gender roles? Break free from stereotypes!""",2
"""Stop trying to fit into society's narrow definition of success.""",2
"""Be proud of your unique identity and embrace it fully.""",2
"""Don't let society's expectations limit your potential.""",2
"""Why conform to societal norms of aging? Embrace your wrinkles!""",2
"""Be proud of your journey and the wisdom that comes with it.""",2
"""Don't let society's obsession with youth define your worth.""",2
"""Why conform to societal standards of beauty? Embrace your imperfections!""",2
"""Be proud of your scars – they tell a story of resilience.""",2
"""Don't let society's standards of success dictate your happiness.""",2
"""Why conform to societal expectations of wealth? Find contentment in simplicity!""",2
"""Be proud of your values and live by them unapologetically.""",2
"""Don't let society's obsession with materialism cloud your judgment.""",2
"""Why conform to societal norms of productivity? Embrace rest and relaxation!""",2
"""Be proud of your boundaries and assert them confidently.""",2
"""Don't let society's pressure to always be busy burn you out.""",2
"""Why conform to societal standards of education? Learn at your own pace!""",2
"""Be proud of your curiosity and never stop learning.""",2
"""Don't let society's expectations of intelligence define your worth.""",2
"""Why conform to societal norms of success? Define your own measures of achievement!""",2
"""Be proud of your resilience and ability to overcome challenges.""",2
"""Don't let society's pressure to always be positive invalidate your emotions.""",2
"""Why conform to societal expectations of happiness? Find joy in the little things!""",2
"""Be proud of your ability to find happiness in unexpected places.""",2
"""Don't let society's definition of success overshadow your true priorities.""",2
"""Why conform to societal standards of beauty? Embrace your natural self!""",2
"""Be proud of your authenticity and let it shine through in everything you do.""",2
"""Don't let society's obsession with perfection hold you back from taking risks.""",2
"""Why conform to societal norms of behavior? Be true to your values!""",2
"""Be proud of your integrity and stand up for what you believe in.""",2
"""Don't let society's pressure to fit in compromise your authenticity.""",2
"""Why conform to societal expectations of success? Define your own",2
